"30","Inde","Indéfini","0"
"3","Pr","Professeur","192"
"5","ATER","ATER","192"
"6","Monit","Moniteur","64"
"19","MC","MC","192"
"11","PAST","PAST","96"
"10","PRAG","PRAG","384"
"12","PRAS","PRAS","192"
"13","Demi-ATER","Demi-ATER","96"
"14","Demi-ATER(11/12)","Demi-ATER(11/12)","88"
"16","PRAG(60%)","PRAG(60%)","230.5"
"17","ATER (11/12)","ATER (11/12)","176"
"18","ATER (6/12)","ATER (6/12)","48"
"21","Maitr conf","Maitre(sse) de conferences","192"
"26","Vac","Vacataire","187"
"24","Demi-ATER(10/12)","Demi-ATER(10/12)","80"
"25","MCF","MCF","192"
